播主昵称,达人详情链接,抖音号,视频标题,发布时间,视频时长,热词,视频详情链接,视频链接,PC1,PC2
深八娱乐,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7697692&tab=&ts=1719989024&sign=d1804394080b48e2cac2bc4ab6898f59,53658826dx,什么展 我问你在办什么展#漫展 #二次元,2024/6/28 19:18:10,24秒,"团建,OK,宕机,赤红之瞳,第五人格,九转,大肠,咒术回战,cos,咒术,弹丸论破,调皮,鬼灭,去吧,全员,已故,柯南,诚哥,二次元,角色,走啊,都能,火影,五条悟,地狱客栈,逞强,落泪,咒回,巨人,首领",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385511848570834226&dateCode=20240628&ts=1719989024&sign=86abb69925251baaf30017dc578f5909,https://www.douyin.com/share/video/7385511848570834226/?mid=,1041131.6679371588,128468.71034617868
哎呦喂,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16954249&tab=&ts=1719989024&sign=f1843f4b8a04e16c42d96fc6ace88c82,Aiyouwei11243,"上头了 身体不自觉地扭起来了
#戴上耳机#越听越上头#fastcarssuperstars",2024/6/29 14:12:26,22秒,"队伍,嗨起来,首歌,国公,艾瑞,摇起来,灵机一动,在哪,音乐,满脑子,萧蘅,感觉,九转,大肠,出来了,巴得,call,不错,队形,扭起来,节奏,整齐划一,乱七八糟,你行,就来,奇葩,逞强,落泪,一支,猫猫",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385804151374089522&dateCode=20240629&ts=1719989024&sign=4be68f2fdc83d4ebcaf2f94edf1adaed,https://www.douyin.com/share/video/7385804151374089522/?mid=,9004406.879760694,177995.96721351653
鹅厂追星酱,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59745109&tab=&ts=1719989024&sign=cc6893b67dd9d22ca7d9c2e00789a5e7,41333311707,谁听了不迷糊，这钱就该孟子义赚！ #五十公里桃花坞第3季 #孟子义 #李嘉琦 #搞笑,2024/6/27 19:00:00,45秒,"孟姐,孟子义,兰闺,喜事,好听,情绪价值,说话,喜欢,唱歌,笑死我了,给她,会说话,算命,九转,大肠,情商,笑死了,拉满,确实,好会,辣目洋子,好像,感觉,算命的,很好看,灵机一动,嘴角,脑子,好看,学习",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385075657421688090&dateCode=20240627&ts=1719989024&sign=b25396bf87478240ec9df74fa7a9ae04,https://www.douyin.com/share/video/7385075657421688090/?mid=,3763624.8297009803,56969.332486186235
安庆天柱山,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=2707796&tab=&ts=1719989024&sign=4d94b2528b1c8bd197e0eed563747f45,178056539,我在天柱山遇到吊带大队！#安徽天柱山 #爬山 #吊带,2024/7/2 8:42:27,12秒,"爬山,拒绝,做起,女色,中华,建设,吊带,喜欢,墨镜,天柱山,武功山,我去,都是,河南,阿姨,让我,倒数,笑死了,的人,浙江,发呆,山西,感觉,出发,河南省,暗中观察,广东,背心,安徽,江苏",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386832351684267299&dateCode=20240702&ts=1719989024&sign=a6038c59a24e2425ff85849ffccb5e0b,https://www.douyin.com/share/video/7386832351684267299/?mid=,5505504.039669925,107739.60310406148
韩朵朵🐰(努力版),https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16817667&tab=&ts=1719989024&sign=5900ee7d0b226a719ac298d41ca28fae,906537500,别看姐经验丰富 结婚一周年真是头次过@宋浩然-28号且初专场,2024/6/29 1:12:23,,"文案,幸福,小猪,笑死,漂亮,抱抱,韩安冉,好漂亮,感觉,希望,结婚,好看,孩子,笑死我了,被爱,猪头,爱人,能用,安冉,好可爱,如养,好好看,拖鞋,的人,手环,一直幸福,看着,直播,老公,猪妹",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385602964246859048&dateCode=20240629&ts=1719989024&sign=9bf6298496f82dc4a569721bd02225dc,https://www.douyin.com/share/video/7385602964246859048/?mid=,8652778.362785926,60878.14134499201
靖融视讯,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=29687751&tab=&ts=1719989024&sign=dd114439e2e77a95129ab7fdf75550fb,40477787466,刚满月的狗子被主人带出来营业，路人纷纷上前撸狗，狗子满脸写着抗拒#萌宠 #这狗成精了 #狗狗 来源：@柚子妈妈和柚子,2024/7/2 15:15:11,10秒,"好可爱,狗子,满月,上班,好像,生气,表情,疫苗,眼神,拉布拉多,没事,感觉,窝囊,选择,喜欢,狗狗,窝囊气,一脸,九转,大肠,被迫营业,太可爱了,小狗,样子,熬夜,生病,也有,小眼神,主人,像不像",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386933560252304652&dateCode=20240702&ts=1719989024&sign=9b5134bbfaa8d10eed62bb0c131f0060,https://www.douyin.com/share/video/7386933560252304652/?mid=,1848404.272375053,288546.6140533704
A0松哥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=50559149&tab=&ts=1719989024&sign=096ba003d13b5bc762527e8c3a9a29b5,209927362,《休伤吾主》#护主的狗狗,2024/6/28 16:13:13,29秒,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385464147665882395&dateCode=20240628&ts=1719989024&sign=85543351a80ae524e31467a75746cb6f,https://www.douyin.com/share/video/7385464147665882395/?mid=,3050058.8500536955,106371.77385471594
学习加油站（教师版）,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=22836294&tab=&ts=1719989024&sign=87e8def12fdbc924954e98219634d4f9,dylkx.6666,中考查分那天 你会获得一个初三以来最高的分数用这个音乐 超灵！！！#查分了信一回这个音乐 #中考查分#查分,2024/6/28 16:43:43,7秒,"感谢,飙升,成绩,接接,有副作用,全科,上岸,无副作用,国家,中考,金榜题名,预估,志愿,贵人,录取,总分,成功上岸,复制,考上,求求了,超常发挥,批卷,理想,中考成绩,成功,学业有成,保佑,改卷,逢考必过,顺利",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385472040607714610&dateCode=20240628&ts=1719989024&sign=8e2e1746f77d7dfc4ce6cc5cbcd15e4c,https://www.douyin.com/share/video/7385472040607714610/?mid=,-3514714.104920331,240787.72697086647
鹅厂追星酱,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59745109&tab=&ts=1719989024&sign=cc6893b67dd9d22ca7d9c2e00789a5e7,41333311707,王传君竟然这么会唱歌嘛 #五十公里桃花坞第4季 #孟子义 #王传君 #合唱 #综艺,2024/6/27 19:30:40,52秒,"王传君,孟子义,唱歌,好男儿,好听,出道,声音,我以为,感觉,孟姐,带偏,关谷,跑调,有空,潘玮柏,带跑,好像,厉害,选秀,唱的,汪峰,礼拜,九转,大肠,关谷神奇,原唱,宕机,不知道,没想到,灵机一动",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385112323800829247&dateCode=20240627&ts=1719989024&sign=bb35153cc26bf9ecbd0bcab34343859c,https://www.douyin.com/share/video/7385112323800829247/?mid=,7416694.115775876,26375.583540118638
衡水日报社,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=8668158&tab=&ts=1719989024&sign=1f9cf5b920ece1a1ba6f04892514b735,hsrbsxmt,身高1.1米的36岁“深井救人英雄”衡水安平农民赵成龙面对媒体首次发声：再有紧急情况，我还会站出来！@赵成龙 #衡水#救人英雄,2024/6/27 14:54:03,12秒,"英雄,成龙,感谢,高先生,昆仑,万丈,好人,一生,平安,天生我材必有用,致敬,孩子,见义勇为,巨人,身高,德高,的人,善良,救援,大义,高大,安平,消防队,三尺,救人一命,意义,奖金,必有用,点赞,荣誉证书",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385072680766131497&dateCode=20240627&ts=1719989024&sign=af5496b354874404914e846e682d9f30,https://www.douyin.com/share/video/7385072680766131497/?mid=,3296127.410054838,151521.02438254005
