点赞,评论,分享,收藏,播放,热词
290327,27976,90762,8699,6700885,"老实,确实,给你,艾特,我给,好可爱,我家,你看,想谈,小狗,喜欢,稳定,舌头,好乖,土狗,好狗,多少钱,OK,性格,想要,极品,狗狗,小土狗,的狗,听话,情绪稳定,长大,好喜欢,大黄,情绪"
316770,7826,117230,29045,5230997,"宝宝,吱声,秒回,评论,点赞,更好,好看,活跃,新号,身材,猪头,评论区,喜欢,调皮,包回,OK,爱看,姐姐,抱抱,会回,发呆,抖音,文案,感觉,好美,宕机,刷到,有没有,链接,美女"
390789,13782,362729,22651,7973140,"升华,宕机,燃起来了,哥们,剪辑,张三,OK,粉丝,投币,抖音,发呆,牛逼,看到最后,视频,九转,大肠,看着,笑死我了,不卖,好看,香菜,起来了,看啥,灵机一动,活儿,热血,电影,教你,芬达,无缝衔接"
385153,3795,48613,18592,6955626,"好美,喜欢,链接,姐姐,美女,宝宝,感觉,好看,上衣,好漂亮,好好看,头发,大学,中意,好喜欢,猪头,爱看,美好美,男生,自信,入迷,身材,军训,给我,你看,迷死,看美女,好像,衣服,这是"
288213,31745,102714,24585,8267932,"想要,喜欢,好帅,OK,宕机,好酷,雨伞,发呆,好喜欢,想买,九转,大肠,我去,我要,我喜欢,石蕊,感觉,案发现场,下雨了,紫色,调皮,下雨,吓人,杀人,cos,我想要,变红,好看,适合,音乐"
291465,29655,196555,11108,5484671,"好听,年纪,豪庭,OK,宕机,喜欢,首歌,好好听,感觉,好听的,调皮,有品,漂亮,发呆,男人,还挺好听,ktv,九转,大肠,年龄,猪头,有品味,女人爱,好像,真好听,刷到,眼镜,潇洒,听过,蛋蛋"
240316,20146,103148,37779,18937015,"减肥,运动,励志,瘦了,瘦下来,姐妹,感觉,厉害,佩服,年轻,好厉害,跳绳,体重,太厉害了,姐姐,减到,狠人,的人,好看,无氧,太牛了,饮食,有氧,毅力,时间,好棒,太棒了,有没有,减了,瘦到"
326547,31250,393331,10769,12463421,"我家,不服,开局,大金链,九转,大肠,逆子,狸花猫,袋鼠,来福,送十连抽,常威,爪子,老实,暗中观察,犟种,打架,猫咪,宕机,猫猫,大嘴巴子,狸花,飞机,一模一样,打不过,嘴巴子,金链,涛哥,打的,小猫"
276123,837,14144,4585,1113307,"小猫,善良,大叔,叔叔,感谢,好人,看不得,平安,的人,小猫咪,希望,一生,平平安安,看不了,猫猫,好可怜,心疼,哭了,健健康康,死了,我家,眼睛,流浪猫,环卫工人,尿尿,小动物,尸体,爷爷,让我,说不定"
228363,21386,363201,9286,18790926,"炎亚纶,汪东城,喜欢,大东,身材,不老,理解,男人,迷死,看了,九转,大肠,衣服,迷糊,年轻,宕机,感觉,暗中观察,东哥,爱看,小学,评论区,好帅,灵机一动,好看,飞轮海,腹肌,眼光,质疑,发呆"
167676,12057,40521,10676,16589413,"万茜,鼻子,刘亦菲,胡歌,好看,好美,侧脸,逍遥哥哥,侧颜,好像,好好看,感觉,长发,美女,喜欢,灵儿,很美,同框,神仙姐姐,好漂亮,两个人,漂亮,真好看,太美了,好美啊,驼峰,大美女,李逍遥,明星,两人"
282791,51476,162385,14427,5794482,"团建,OK,宕机,赤红之瞳,第五人格,九转,大肠,咒术回战,cos,咒术,弹丸论破,调皮,鬼灭,去吧,全员,已故,柯南,诚哥,二次元,角色,走啊,都能,火影,五条悟,地狱客栈,逞强,落泪,咒回,巨人,首领"
164264,13343,23696,29497,13759274,"队伍,嗨起来,首歌,国公,艾瑞,摇起来,灵机一动,在哪,音乐,满脑子,萧蘅,感觉,九转,大肠,出来了,巴得,call,不错,队形,扭起来,节奏,整齐划一,乱七八糟,你行,就来,奇葩,逞强,落泪,一支,猫猫"
226395,11065,138057,8827,8517983,"孟姐,孟子义,兰闺,喜事,好听,情绪价值,说话,喜欢,唱歌,笑死我了,给她,会说话,算命,九转,大肠,情商,笑死了,拉满,确实,好会,辣目洋子,好像,感觉,算命的,很好看,灵机一动,嘴角,脑子,好看,学习"
182281,15023,340422,8620,10258321,"爬山,拒绝,做起,女色,中华,建设,吊带,喜欢,墨镜,天柱山,武功山,我去,都是,河南,阿姨,让我,倒数,笑死了,的人,浙江,发呆,山西,感觉,出发,河南省,暗中观察,广东,背心,安徽,江苏"
199610,21023,199353,1999,13406906,"文案,幸福,小猪,笑死,漂亮,抱抱,韩安冉,好漂亮,感觉,希望,结婚,好看,孩子,笑死我了,被爱,猪头,爱人,能用,安冉,好可爱,如养,好好看,拖鞋,的人,手环,一直幸福,看着,直播,老公,猪妹"
155885,10903,333396,4954,6600193,"好可爱,狗子,满月,上班,好像,生气,表情,疫苗,眼神,拉布拉多,没事,感觉,窝囊,选择,喜欢,狗狗,窝囊气,一脸,九转,大肠,被迫营业,太可爱了,小狗,样子,熬夜,生病,也有,小眼神,主人,像不像"
152905,40063,4106,12360,1239689,"感谢,飙升,成绩,接接,有副作用,全科,上岸,无副作用,国家,中考,金榜题名,预估,志愿,贵人,录取,总分,成功上岸,复制,考上,求求了,超常发挥,批卷,理想,中考成绩,成功,学业有成,保佑,改卷,逢考必过,顺利"
240554,18620,133833,8543,12171277,"王传君,孟子义,唱歌,好男儿,好听,出道,声音,我以为,感觉,孟姐,带偏,关谷,跑调,有空,潘玮柏,带跑,好像,厉害,选秀,唱的,汪峰,礼拜,九转,大肠,关谷神奇,原唱,宕机,不知道,没想到,灵机一动"
170873,7609,6513,3210,8051144,"英雄,成龙,感谢,高先生,昆仑,万丈,好人,一生,平安,天生我材必有用,致敬,孩子,见义勇为,巨人,身高,德高,的人,善良,救援,大义,高大,安平,消防队,三尺,救人一命,意义,奖金,必有用,点赞,荣誉证书"
356841,21150,246015,8950,8179970,"教练,考驾照,学车,驾校,广西,驾照,练车,许光汉,好帅,教我,报名,老头,宕机,调皮,九转,大肠,巧克力,帅的,我去,感觉,OK,喜欢,重考,想谈,帅哥,在哪,完了,情绪稳定,能不能,发呆"
