播主昵称,达人详情链接,抖音号,播主粉丝数,视频标题,发布时间,视频时长,传播指数,点赞,评论,分享,收藏,播放,热词,视频详情链接,视频链接
田园犬巡游记,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=40068904&tab=&ts=1719989024&sign=f74b782d7c338aecd5cdbba500feac43,Mortal_Tang,79999,像这种性格稳定，户外不怯场，老实且活泼的性格我个人是很喜欢的#中华田园犬,2024/6/27 8:55:07,27秒,96.0,290327,27976,90762,8699,6700885,"老实,确实,给你,艾特,我给,好可爱,我家,你看,想谈,小狗,喜欢,稳定,舌头,好乖,土狗,好狗,多少钱,OK,性格,想要,极品,狗狗,小土狗,的狗,听话,情绪稳定,长大,好喜欢,大黄,情绪",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384980223835524406&dateCode=20240627&ts=1719989024&sign=d5f8373dba657e193858dd71b5e63543,https://www.douyin.com/share/video/7384980223835524406/?mid=
洛芷.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=55965662&tab=&ts=1719989024&sign=b2684f4b6d783789541aa3931dfaa9ec,kiss8.88.888,80331,那些激情后的陌生 被利用的信任,2024/6/28 23:00:44,6秒,96.0,316770,7826,117230,29045,5230997,"宝宝,吱声,秒回,评论,点赞,更好,好看,活跃,新号,身材,猪头,评论区,喜欢,调皮,包回,OK,爱看,姐姐,抱抱,会回,发呆,抖音,文案,感觉,好美,宕机,刷到,有没有,链接,美女",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385569204973407499&dateCode=20240628&ts=1719989024&sign=b42d7a59c88a1cd60d6e979cbfdfae4c,https://www.douyin.com/share/video/7385569204973407499/?mid=
",,Ծ^Ծ,,🫶(⁎⁍̴̛ᴗ⁍̴̛⁎)",https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=15002066&tab=&ts=1719989024&sign=96bf7a3438c5e22187a644f7509dbb11,xx12071319,418650,能过就过，不能过就分桌哈哈哈哈哈,2024/7/1 14:07:17,17秒,96.0,324065,66039,720836,12638,12151906,"老戏骨,OK,笑死我了,能过,男人,小孩,北影,九转,大肠,教材,宕机,分桌,哭了,双手,不能过,懂了,年纪,男孩,淋漓尽致,感觉,老屁股,评论区,笑死了,过分,发呆,感情,纳入,爱情,逞强,落泪",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386545006695271695&dateCode=20240701&ts=1719989024&sign=35a799ebd0fec27d67a4de2bbaa4b353,https://www.douyin.com/share/video/7386545006695271695/?mid=
淘气堡.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=41830617&tab=&ts=1719989024&sign=7024b4d2a16fa1d428dc989a3cfa53cb,wy19890704,31483,“今天的正片有些不同”#影视剪辑 #影视混剪 #电影推荐 #电影里的名场面 #电影片段剪辑,2024/6/28 17:20:03,1分41秒,96.0,390789,13782,362729,22651,7973140,"升华,宕机,燃起来了,哥们,剪辑,张三,OK,粉丝,投币,抖音,发呆,牛逼,看到最后,视频,九转,大肠,看着,笑死我了,不卖,好看,香菜,起来了,看啥,灵机一动,活儿,热血,电影,教你,芬达,无缝衔接",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385481413501521202&dateCode=20240628&ts=1719989024&sign=8b5e62874cef364df7e56cbfc51a25e0,https://www.douyin.com/share/video/7385481413501521202/?mid=
垂耳兔,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=30391500&tab=&ts=1719989024&sign=2b9aa3de6c6cec1a01f327309968a6e3,07040123d,49811,"风 你还我刘海
#操场上从来不缺舞者 #随机舞蹈 #直拍",2024/6/28 17:02:01,9秒,96.0,385153,3795,48613,18592,6955626,"好美,喜欢,链接,姐姐,美女,宝宝,感觉,好看,上衣,好漂亮,好好看,头发,大学,中意,好喜欢,猪头,爱看,美好美,男生,自信,入迷,身材,军训,给我,你看,迷死,看美女,好像,衣服,这是",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385476769932938534&dateCode=20240628&ts=1719989024&sign=a5ab63d703bccd0e5c39ae8e67a6cb78,https://www.douyin.com/share/video/7385476769932938534/?mid=
玩游戏的小铭,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=14704779&tab=&ts=1719989024&sign=52ec46b8c29d12b9ed79da387dc97cc7,91378720,443242,正义警官制裁秀恩爱行为！#steam游戏 #单机游戏 #搞笑游戏,2024/7/1 17:30:28,16秒,95.9,456095,67430,885766,19133,14788851,"宕机,OK,警察,九转,大肠,发呆,游戏,自由度,哥们,第一眼,女的,疑问,没想到,逆天,炸裂,狗男女,我以为,热血无赖,这是,第二眼,上了,暗中观察,笑死我了,制裁,拆散,女生,说游戏,人类,噢买尬,调皮",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386597370101796146&dateCode=20240701&ts=1719989024&sign=71dd9e799ad90ee38b321e71b9c81e6e,https://www.douyin.com/share/video/7386597370101796146/?mid=
Coooy,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=12482159&tab=&ts=1719989024&sign=c0a1ef88376e7646f6245c701b40f0be,100ccch,154144,以后就是一家人咯#sayuloveme2#歌曲LoveU2#陈伟霆,2024/6/28 14:51:48,9秒,95.9,509364,12756,185292,14340,5613292,"好可爱,小狗,猪头,宝宝,摇粒绒,要养,好幸福,哭了,狗狗,小狗狗,好聪明,聪明,想养,眼含,热泪,好乖,可爱死了,太可爱了,啊啊啊啊,想要,抱抱,好喜欢,泰迪,我家,喜欢,善良,好像,求求了,给我,我去",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385443216457338121&dateCode=20240628&ts=1719989024&sign=16222f082221dc4926f6045eb8b7fa77,https://www.douyin.com/share/video/7385443216457338121/?mid=
心姐和豆妹,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=55319425&tab=&ts=1719989024&sign=84f8ae5a426846d11174f7e70a6cf1cf,375154547,9041,一个人呆一个屋就哼唧，两个人在一起就能玩半天！哈哈#两小只的日常生活视频 #超有爱 #双胞胎宝宝的日常,2024/6/27 14:47:12,14秒,95.8,834382,47628,768538,28229,30595545,"好可爱,宝宝,给我,太可爱了,奶香奶,猪头,奶香味,感觉,小孩,闻到,抱抱,隔着屏幕,好香,双胞胎,孩子,哭了,小宝宝,玩具,玩玩,奶香,调皮,香香软软,想要,求求了,两个人,可爱死了,亲亲,看着,心都,喜欢",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385070904318938407&dateCode=20240627&ts=1719989024&sign=a5fa1d0f12626e5e77f821758c6b3081,https://www.douyin.com/share/video/7385070904318938407/?mid=
向李,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=60013384&tab=&ts=1719989024&sign=0d40ec653bb71e4e381212def3495df3,72022345414,9696,热个场 #强军战歌 #翻唱歌曲#相信国家相信党,2024/6/30 17:27:23,33秒,95.7,530349,18133,150643,14545,11956396,"宕机,军训,警察,OK,KTV,ktv,去KTV,发呆,正步,敬礼,九转,大肠,强军战歌,敬个,唱的,立正,服务员,评论区,同学,踢进,调皮,朋友,我去,红歌,查房,抖音,首歌,精忠报国,果盘,军歌",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386225479876906281&dateCode=20240630&ts=1719989024&sign=ef19a08ff927062944d2b63d3b255cd8,https://www.douyin.com/share/video/7386225479876906281/?mid=
张德帅,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=19695075&tab=&ts=1719989024&sign=ef26d54b80bee5ba49c6a6712f7352b1,1263642179,59289,不是哥们！这伞怎么个事啊！ #雨伞,2024/6/27 17:38:02,9秒,95.6,288213,31745,102714,24585,8267932,"想要,喜欢,好帅,OK,宕机,好酷,雨伞,发呆,好喜欢,想买,九转,大肠,我去,我要,我喜欢,石蕊,感觉,案发现场,下雨了,紫色,调皮,下雨,吓人,杀人,cos,我想要,变红,好看,适合,音乐",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385114981362142473&dateCode=20240627&ts=1719989024&sign=8e8af7177de263470814cd396213c7b9,https://www.douyin.com/share/video/7385114981362142473/?mid=
